"Pclass","Sex","Fare","Embarked","Survived","Age"
"3","female",22.3583,"C","survived",40
"3","male",6.975,"S","died",45
"3","male",7.8958,"C","died",33
"3","male",7.05,"S","died",20
"3","female",14.5,"S","died",47
"2","female",26,"S","survived",29
"2","male",13,"S","died",25
"2","male",15.0458,"C","died",23
"1","female",26.2833,"S","survived",19
"1","male",53.1,"S","died",37
"3","male",9.2167,"S","died",16
"1","male",79.2,"C","died",24
"3","female",15.2458,"C","died",27
"3","female",7.75,"S","survived",22
"3","female",15.85,"S","survived",24
"3","male",6.75,"Q","died",19
"2","male",11.5,"S","died",18
"2","male",36.75,"S","died",19
"3","male",7.7958,"S","survived",27
"3","female",34.375,"S","died",9
"2","male",26,"S","died",36.5
"2","male",13,"S","died",42
"2","male",12.525,"S","died",51
"1","female",66.6,"S","survived",22
"3","male",8.05,"S","died",55.5
"3","male",14.5,"S","died",40.5
"3","male",7.3125,"S","died",36
"1","male",61.3792,"C","died",51
"3","female",7.7333,"Q","survived",16
"3","male",8.05,"S","died",30
"3","male",8.6625,"S","died",51
"3","male",69.55,"S","died",9
"3","male",16.1,"S","died",44
"2","female",15.75,"S","survived",40
"3","male",7.775,"S","died",26
"3","male",8.6625,"S","died",17
"3","male",39.6875,"S","died",1
"3","male",20.525,"S","survived",9
"1","female",55,"S","survived",39
"3","female",27.9,"S","died",45
"1","male",25.925,"S","died",35
"3","male",56.4958,"S","died",28
"1","male",33.5,"S","died",61
"3","male",29.125,"Q","died",4
"3","female",11.1333,"S","survived",1
"3","male",7.925,"S","died",21
"1","male",30.6958,"C","died",56
"3","male",7.8542,"S","died",18
"3","male",25.4667,"S","died",3
"1","female",28.7125,"C","died",50
"2","male",13,"S","died",30
"3","male",13.675550101833,"S","died",36
"3","female",69.55,"S","died",11
"2","male",15.05,"C","died",23
"3","male",31.3875,"S","died",9
"2","male",39,"S","survived",1
"3","female",22.025,"S","survived",4
"1","male",50,"S","died",45
"3","female",15.5,"Q","survived",70.5
"1","male",26.55,"S","survived",45
"3","male",15.5,"Q","died",40
"3","male",7.8958,"S","died",36
"2","female",13,"S","survived",32
"2","male",13,"S","died",19
"3","female",7.8542,"S","survived",19
"2","male",26,"S","survived",3
"1","female",27.7208,"C","survived",44
"1","female",146.5208,"C","survived",58
"3","male",7.75,"Q","died",26
"3","male",8.4042,"S","died",42
"3","female",7.75,"Q","survived",24
"2","female",13,"S","died",24
"3","male",9.5,"S","died",28
"3","male",69.55,"S","died",11
"3","male",6.4958,"S","died",34
"3","male",7.225,"C","died",45.5
"3","male",8.05,"S","survived",18
"3","female",10.4625,"S","died",2
"3","male",15.85,"S","died",32
"3","male",18.7875,"C","survived",26
"3","female",7.75,"Q","survived",16
"1","male",31,"C","survived",40
"3","male",7.05,"S","died",24
"2","female",21,"S","survived",35
"3","male",7.25,"S","died",22
"2","male",13,"S","died",30
"3","male",7.75,"Q","died",29
"1","female",113.275,"C","survived",31
"3","female",7.925,"S","survived",27
"2","male",27,"S","died",42
"1","female",76.2917,"C","survived",32
"2","male",10.5,"S","died",30
"3","male",8.05,"S","survived",16
"2","male",13,"S","died",27
"3","male",8.05,"S","died",51
"3","male",7.8958,"S","died",19
"1","male",90,"S","survived",38
"3","male",9.35,"S","died",22
"2","male",10.5,"S","survived",19
"3","male",7.25,"S","died",20.5
"2","male",13,"S","died",18
"3","female",25.4667,"S","died",2
"1","female",83.475,"S","survived",35
"3","male",7.775,"S","died",29
"2","male",13.5,"S","died",59
"3","female",31.3875,"S","survived",5
"2","male",10.5,"S","died",24
"3","female",7.55,"S","died",21
"2","male",26,"S","died",44
"2","female",26.25,"S","survived",8
"2","male",10.5,"S","died",19
"2","male",12.275,"S","died",33
"3","female",14.4542,"C","died",25
"3","female",15.5,"Q","survived",31
"2","male",10.5,"S","died",29
"3","male",7.125,"S","died",22
"3","male",7.225,"C","died",30
"1","male",90,"Q","died",44
"3","female",7.775,"S","died",25
"2","female",14.5,"S","survived",24
"1","male",52.5542,"S","survived",37
"2","male",26,"S","died",54
"3","male",7.25,"S","died",51
"3","female",10.4625,"S","died",29
"1","male",26.55,"S","died",62
"3","male",16.1,"S","died",30
"3","female",20.2125,"S","died",41
"3","female",15.2458,"C","survived",29
"1","female",79.2,"C","survived",52
"1","female",86.5,"S","survived",30
"1","female",512.3292,"C","survived",35
"2","female",26,"S","survived",50
"3","male",7.75,"Q","died",20
"3","male",31.3875,"S","survived",3
"1","male",79.65,"S","died",52
"1","male",84.1546875,"S","died",40
"3","female",7.75,"Q","died",21
"2","male",10.5,"S","died",36
"3","male",39.6875,"S","died",16
"3","male",7.775,"S","survived",25
"1","female",153.4625,"S","survived",58
"1","female",135.6333,"S","survived",35
"1","male",31,"S","died",62
"3","male",13.675550101833,"S","survived",25
"2","female",19.5,"S","survived",41
"1","male",29.7,"C","died",37
"3","female",7.75,"Q","survived",32
"1","female",77.9583,"S","survived",63
"3","female",7.75,"S","died",45
"2","male",20.6621831521739,"S","died",31
"3","male",29.125,"Q","died",7
"3","female",20.25,"S","survived",35
"3","male",7.75,"Q","died",65
"3","male",7.8542,"S","died",28
"3","male",9.5,"S","died",16
"3","male",8.05,"S","survived",19
"1","male",26,"S","died",30
"3","male",8.6625,"C","died",33
"3","male",9.5,"S","survived",30
"3","male",7.8958,"S","died",22
"2","male",13,"S","survived",42
"3","female",7.75,"Q","survived",22
"1","female",78.85,"S","survived",26
"1","female",91.0792,"C","survived",19
"2","male",12.875,"C","died",36
"3","female",8.85,"S","died",24
"3","male",7.8958,"S","died",24
"1","male",27.7208,"C","died",30
"3","male",7.2292,"C","died",23.5
"1","female",151.55,"S","died",2
"1","male",30.5,"S","survived",80
"1","female",247.5208,"C","survived",50
"3","female",7.75,"Q","survived",22
"3","male",23.25,"Q","survived",31
"3","male",13.675550101833,"S","died",19
"2","female",12.35,"Q","survived",40
"3","male",8.05,"S","died",19
"1","male",151.55,"S","survived",0.92
"1","female",110.8833,"C","survived",42
"1","female",108.9,"C","survived",17
"2","male",24,"C","died",30
"1","female",56.9292,"C","survived",30
"1","female",83.1583,"C","survived",24
"1","female",262.375,"C","survived",18
"2","female",26,"S","died",26
"3","male",7.8958,"S","died",28
"2","male",26.25,"S","died",43
"3","female",7.8542,"S","survived",26
"2","female",26,"S","survived",24
"2","male",14,"S","died",54
"1","female",164.8667,"S","survived",31
"1","female",134.5,"C","survived",40
"3","male",7.25,"S","died",22
"3","male",7.8958,"S","died",27
"2","female",12.35,"Q","survived",30
"2","female",29,"S","survived",22
"3","male",69.55,"S","died",64
"1","female",135.6333,"C","survived",36
"3","male",6.2375,"S","died",61
"2","female",13,"S","survived",36
"3","female",20.525,"S","survived",31
"1","female",57.9792,"C","survived",16
"3","female",23.25,"Q","survived",25
"1","male",28.5,"S","died",45.5
"1","male",153.4625,"S","died",38
"3","male",18,"S","died",16
"1","female",133.65,"S","survived",63
"3","male",7.8958,"S","died",21
"1","male",66.6,"S","died",29
"1","female",134.5,"C","survived",41
"3","male",8.05,"S","survived",45
"1","male",35.5,"S","died",45
"2","male",26,"S","survived",2
"1","female",263,"S","survived",24
"2","male",13,"S","died",28
"2","male",13,"S","died",25
"2","male",13,"S","died",36
"2","female",13,"S","survived",24
"2","female",13,"S","survived",40
"3","female",16.1,"S","survived",5
"3","male",15.9,"S","survived",3
"3","male",8.6625,"S","died",42
"3","male",9.225,"S","died",23
"1","male",35,"S","died",28
"3","male",7.2292,"C","died",15
"3","male",17.8,"S","died",25
"3","male",7.225,"C","died",16
"3","male",9.5,"S","died",28
"1","female",55,"S","survived",22
"2","female",13,"S","died",38
"3","female",7.8792,"Q","survived",40.5
"3","female",7.8792,"Q","survived",21
"3","male",27.9,"S","died",40
"2","male",27.7208,"C","died",29
"3","female",14.4542,"C","died",45
"3","male",7.05,"S","died",35
"3","male",15.5,"Q","died",30.5
"3","male",7.25,"S","died",30
"1","female",75.25,"C","survived",60
"3","female",7.2292,"C","survived",13
"3","female",7.75,"Q","survived",4
"1","female",69.3,"C","survived",24
"1","male",55.4417,"C","survived",25
"3","male",6.4958,"S","died",18
"3","male",8.05,"S","died",19
"1","male",135.6333,"C","died",22
"3","female",21.075,"S","died",3
"1","female",82.1708,"C","survived",48
"3","female",7.25,"S","survived",22
"1","male",211.5,"C","died",27
"3","male",4.0125,"C","died",20
"3","male",7.775,"S","died",19
"1","female",227.525,"C","survived",42
"3","female",15.7417,"C","survived",1
"3","male",7.925,"S","died",32
"1","female",52,"S","survived",35
"3","male",7.8958,"S","died",44
"2","male",73.5,"S","died",18
"3","male",46.9,"S","died",1
"2","female",13,"S","survived",36
"3","male",7.7292,"Q","died",59
"2","female",12,"C","survived",17
"1","male",120,"S","survived",36
"3","male",7.7958,"S","survived",21
"3","male",7.925,"S","died",28
"1","female",113.275,"C","survived",23
"3","female",16.7,"S","survived",24
"3","male",7.7958,"S","died",22
"3","female",7.8542,"S","died",31
"2","male",26,"S","died",46
"2","male",10.5,"S","died",23
"2","female",12.65,"S","survived",28
"3","male",7.925,"S","survived",39
"3","male",8.05,"S","died",26
"3","female",9.825,"S","died",21
"3","male",15.85,"S","died",28
"3","female",8.6625,"S","died",20
"2","male",21,"S","died",34
"3","male",7.75,"S","died",51
"2","male",18.75,"S","survived",3
"3","male",7.775,"S","died",21
"3","female",25.4667,"S","died",8
"3","male",7.8958,"S","died",48
"3","male",6.8583,"Q","died",18
"1","female",90,"Q","survived",33
"2","male",20.6621831521739,"S","died",22
"3","male",7.925,"S","survived",44
"3","female",8.05,"S","died",25
"2","female",32.5,"S","survived",34
"2","female",13,"S","survived",18
"2","male",13,"S","died",30
"3","female",24.15,"S","died",10
"3","male",7.8958,"C","died",17
"3","male",7.7333,"Q","died",21
"3","male",7.875,"S","died",29
"3","female",14.4,"S","died",28
"3","male",20.2125,"S","died",18
"3","male",7.25,"S","died",19
"2","female",26,"S","survived",28
"2","female",26,"S","survived",19
"3","male",7.75,"Q","died",51
"3","male",8.05,"S","survived",32
"1","male",26.55,"S","survived",28
"3","female",16.1,"S","survived",25
"2","female",26,"S","survived",42
"3","male",7.125,"S","died",17
"1","male",55.9,"S","died",50
"1","female",120,"S","survived",14
"3","female",34.375,"S","died",21
"2","female",18.75,"S","survived",24
"1","male",263,"S","died",64
"2","male",10.5,"S","died",31
"2","female",26.25,"S","survived",45
"3","male",9.5,"S","died",20
"3","male",7.775,"S","died",25
"2","female",13,"S","survived",28
"3","male",8.1125,"S","survived",17
"1","male",81.8583,"S","survived",4
"2","female",19.5,"S","survived",13
"1","male",26.55,"S","survived",34
"3","female",19.2583,"C","survived",5
"1","male",30.5,"S","survived",52
"2","male",27.75,"S","died",36
"3","male",19.9667,"S","died",17
"1","male",27.75,"C","died",30
"1","male",89.1042,"C","survived",49
"3","male",8.05,"S","died",21
"3","male",7.8958,"C","survived",29
"1","male",26.55,"S","died",65
"1","female",51.8625,"S","survived",38
"2","female",10.5,"S","survived",50
"3","male",7.75,"Q","died",20
"1","male",26.55,"S","survived",48
"3","male",8.05,"S","died",34
"1","male",38.5,"S","died",47
"2","male",13,"S","died",48
"3","male",8.05,"S","died",28
"3","male",7.05,"S","died",38
"2","male",20.6621831521739,"S","died",21
"1","male",26.55,"S","died",56
"3","male",7.725,"Q","died",65
"3","female",19.2583,"C","survived",0.75
"3","male",7.25,"S","died",19
"3","male",8.6625,"S","died",38
"2","female",27.75,"S","survived",33
"2","female",13.7917,"C","survived",23
"3","female",9.8375,"S","died",22
"1","male",52,"S","died",28
"2","male",21,"S","died",34
"3","male",7.0458,"S","died",29
"3","male",7.5208,"S","died",22
"3","female",12.2875,"S","survived",2
"3","male",46.9,"S","died",9
"2","male",20.6621831521739,"S","died",31
"3","male",8.05,"S","died",50
"3","female",9.5875,"S","survived",63
"1","male",91.0792,"C","survived",25
"3","female",25.4667,"S","died",2
"1","female",90,"S","survived",35
"1","male",29.7,"C","died",58
"3","male",8.05,"S","died",30
"3","male",15.9,"S","survived",9
"3","male",19.9667,"S","died",20
"3","male",7.25,"S","died",21
"1","male",30.5,"S","died",55
"1","male",49.5042,"C","died",71
"3","male",8.05,"S","died",21
"3","male",14.4583,"C","died",24
"1","female",78.2667,"C","survived",54
"3","male",15.1,"S","died",41
"1","female",151.55,"S","died",25
"3","male",7.7958,"S","died",24
"3","male",8.6625,"S","died",17
"3","female",7.75,"Q","died",21
"3","female",7.6292,"Q","died",65
"3","female",9.5875,"S","died",37
"1","female",86.5,"S","survived",16
"1","male",108.9,"C","died",18
"2","female",26,"S","survived",33
"1","male",26.55,"S","survived",32
"3","male",22.525,"S","died",28
"3","male",56.4958,"S","survived",26
"3","male",7.75,"Q","survived",29
"3","male",8.05,"S","died",37
"1","male",26.2875,"S","survived",36
"1","female",59.4,"C","survived",54
"3","male",7.4958,"S","died",24
"1","male",34.0208,"S","died",47
"2","female",10.5,"S","survived",34
"3","male",24.15,"Q","died",19
"2","female",26,"S","survived",36
"3","male",7.8958,"S","died",32
"1","female",93.5,"S","survived",30
"3","male",7.8958,"S","died",22
"3","male",7.225,"C","died",40
"1","female",57.9792,"C","survived",44
"3","male",7.2292,"C","died",22
"3","male",7.75,"Q","died",40.5
"2","female",10.5,"S","survived",50
"1","male",221.7792,"S","died",22
"3","male",7.925,"S","died",39
"2","male",11.5,"S","died",23
"2","female",26,"S","survived",2
"3","male",7.2292,"C","died",40
"3","male",7.2292,"C","died",17
"3","female",22.3583,"C","survived",24
"3","female",8.6625,"S","died",30
"2","female",26.25,"S","survived",7
"1","male",26.55,"S","died",45
"1","female",106.425,"C","survived",30
"3","male",14.5,"S","died",28
"1","female",49.5,"C","survived",22
"1","female",71,"S","survived",36
"3","female",31.275,"S","died",9
"3","female",31.275,"S","died",11
"2","male",26,"S","survived",32
"1","male",106.425,"C","died",50
"1","male",26,"S","died",64
"2","female",26,"S","survived",19
"2","male",13.8625,"C","survived",31
"3","male",20.525,"S","died",33
"2","male",36.75,"S","survived",8
"1","male",110.8833,"C","survived",17
"2","male",26,"S","died",27
"3","male",7.8292,"Q","died",19
"3","male",7.225,"C","survived",22
"3","female",7.775,"S","survived",22
"1","male",26.55,"S","died",62
"1","female",39.6,"C","survived",48
"1","male",227.525,"C","died",22
"1","female",79.65,"S","survived",39
"3","female",17.4,"S","survived",36
"3","male",7.75,"Q","died",29
"3","male",7.8958,"S","died",40
"2","male",13.5,"S","died",28
"3","male",8.05,"S","died",21
"3","female",8.05,"S","died",30
"3","male",24.15,"S","died",24
"3","male",7.8958,"S","died",19
"3","female",21.075,"S","died",29
"3","male",7.2292,"C","died",35
"3","male",7.8542,"S","survived",32
"2","male",10.5,"S","survived",62
"1","female",51.4792,"S","survived",53
"1","male",26.3875,"S","survived",36
"3","female",7.75,"Q","survived",39
"3","male",8.05,"S","died",16
"3","male",14.5,"S","died",19
"2","female",13,"S","survived",34
"1","female",55.9,"S","survived",39
"3","female",14.4583,"C","died",17
"3","male",7.925,"S","survived",32
"2","female",30,"S","survived",25
"1","female",110.8833,"C","survived",39
"2","male",26,"S","died",54
"1","male",40.125,"C","died",36
"3","male",8.7125,"C","died",18
"1","female",79.65,"S","survived",18
"2","male",15,"S","died",47
"1","male",79.2,"C","survived",60
"3","male",8.05,"S","died",22
"3","male",8.05,"S","died",50
"3","male",7.125,"S","died",35
"1","female",78.2667,"C","survived",52
"3","male",7.25,"S","died",47
"3","female",7.75,"Q","died",21
"2","male",26,"S","died",37
"3","male",24.15,"S","died",36
"2","female",33,"S","survived",28
"3","male",13.675550101833,"S","died",49
"3","male",7.225,"C","died",40
"1","male",56.9292,"C","survived",49
"2","female",27,"S","survived",24
"3","male",7.8958,"S","died",61
"1","male",42.4,"S","died",54
"3","male",8.05,"S","died",44
"1","male",26.55,"C","survived",35
"3","male",15.55,"S","died",36
"3","male",7.8958,"S","died",30
"1","male",30.5,"S","survived",27
"2","female",41.5792,"C","survived",22
"1","female",153.4625,"S","survived",40
"3","female",31.275,"S","died",39
"3","male",7.05,"S","died",19
"3","female",15.5,"Q","survived",18
"3","male",7.75,"Q","died",24
"3","male",8.05,"S","died",35
"2","female",65,"S","survived",24
"3","male",14.4,"S","died",34
"3","female",16.1,"S","died",26
"2","female",39,"S","survived",4
"2","male",10.5,"S","died",26
"3","male",14.4542,"C","died",27
"1","male",52.5542,"S","survived",42
"3","male",15.7417,"C","survived",20
"3","male",7.8542,"S","died",21
"3","male",16.1,"S","died",21
"1","male",32.3208,"S","died",61
"2","male",12.35,"Q","died",57
"1","female",77.9583,"S","survived",21
"3","male",7.8958,"S","died",26
"3","male",7.7333,"Q","died",41
"1","male",30,"S","survived",80
"3","male",7.0542,"S","died",51
"1","male",30.5,"C","survived",32
"1","male",84.1546875,"S","died",47
"3","female",27.9,"S","died",9
"2","female",13,"S","survived",28
"3","male",7.925,"S","died",32
"2","male",26.25,"S","died",31
"3","female",39.6875,"S","died",41
"3","male",16.1,"S","died",20
"3","male",7.8542,"S","died",20
"1","female",69.3,"C","survived",24
"3","female",27.9,"S","died",2
"3","male",56.4958,"S","survived",24
"3","female",19.2583,"C","survived",0.75
"1","male",76.7292,"C","survived",48
"3","male",7.8958,"S","died",19
"1","male",35.5,"C","survived",56
"3","male",7.55,"S","died",29
"3","female",7.55,"S","survived",23
"3","male",7.8958,"S","died",28
"2","female",23,"S","survived",18
"3","male",8.4333,"S","died",21
"3","female",7.8292,"Q","survived",19
"3","female",6.75,"Q","died",18
"2","male",73.5,"S","died",24
"3","male",7.8958,"S","died",26
"3","female",15.5,"Q","died",32
"2","male",13,"S","died",23
"1","male",113.275,"C","died",58
"1","male",133.65,"S","survived",50
"3","male",7.225,"C","died",40
"1","male",25.5875,"S","died",47
"3","male",7.4958,"S","died",36
"3","male",7.925,"S","survived",20
"2","male",73.5,"S","died",32
"2","male",13,"S","died",25
"3","male",7.775,"S","died",21
"3","male",8.05,"S","died",43
"1","female",52,"S","survived",33
"2","female",39,"S","survived",40
"1","male",52,"S","died",31
"2","male",10.5,"S","died",70
"2","male",13,"S","survived",31
"2","male",20.6621831521739,"S","died",16
"3","male",7.775,"S","died",18
"3","male",8.05,"S","died",24.5
"3","female",9.8417,"S","survived",18
"3","female",46.9,"S","died",43
"1","male",512.3292,"C","survived",36
"3","female",8.1375,"Q","died",40
"1","male",76.7292,"C","survived",27
"3","male",9.225,"S","died",20
"3","male",46.9,"S","died",14
"2","male",39,"S","died",60
"2","male",41.5792,"C","died",25
"3","male",39.6875,"S","died",14
"3","male",10.1708,"S","died",19
"3","male",7.7958,"S","died",18
"1","female",211.3375,"S","survived",15
"1","male",57,"S","survived",31
"3","female",13.4167,"C","survived",4
"3","male",56.4958,"S","survived",22
"3","male",7.225,"C","died",25
"1","male",26.55,"S","died",60
"2","male",13.5,"S","died",52
"3","male",8.05,"S","died",44
"3","female",7.7333,"Q","survived",15
"1","male",110.8833,"C","died",49
"3","male",7.65,"S","died",42
"1","female",227.525,"C","survived",18
"1","male",26.2875,"S","survived",35
"3","female",14.4542,"C","died",18
"3","male",7.7417,"Q","died",25
"3","male",7.8542,"S","died",26
"2","male",26,"S","died",39
"2","female",13.5,"S","survived",45
"1","male",26.2875,"S","survived",42
"1","female",151.55,"S","survived",22
"3","male",15.2458,"C","survived",29
"1","female",49.5042,"C","survived",24
"1","male",26.55,"S","died",54
"1","male",52,"S","survived",48
"3","male",9.4833,"S","died",29
"2","male",13,"S","died",52
"3","male",7.65,"S","died",19
"1","female",227.525,"C","survived",38
"2","female",10.5,"S","survived",27
"3","male",15.5,"Q","died",19
"3","male",7.775,"S","died",33
"2","female",33,"S","survived",6
"3","male",7.0542,"S","died",17
"2","male",13,"S","died",34
"2","male",13,"S","died",50
"1","male",53.1,"S","survived",27
"3","male",8.6625,"S","died",20
"2","female",21,"S","survived",30
"3","female",7.7375,"Q","survived",30
"2","male",26,"S","died",25
"3","female",7.925,"S","died",25
"1","female",211.3375,"S","survived",29
"3","male",18.7875,"C","died",11
"2","male",20.6621831521739,"S","died",28
"2","male",13,"S","died",23
"2","male",13,"S","died",23
"3","male",16.1,"S","died",28.5
"3","female",34.375,"S","died",48
"1","male",512.3292,"C","survived",35
"3","male",7.8958,"S","died",22
"3","male",7.8958,"S","died",18
"1","male",30,"S","survived",52
"1","male",78.85,"S","died",36
"1","female",262.375,"C","survived",21
"3","male",16.1,"S","died",24
"3","male",7.925,"S","survived",31
"1","male",71,"S","died",70
"3","male",20.25,"S","died",16
"2","female",13,"S","survived",30
"1","male",53.1,"S","died",19
"3","male",7.75,"Q","died",31
"2","female",23,"S","survived",4
"3","male",12.475,"S","survived",6
"3","male",9.5,"S","died",33
"3","male",7.8958,"S","died",23
"2","female",65,"S","survived",48
"2","male",14.5,"S","survived",0.67
"3","male",7.7958,"S","died",28
"2","male",11.5,"S","died",18
"3","male",8.05,"S","died",34
"1","female",86.5,"S","survived",33
"3","male",14.5,"S","died",25
"3","male",7.125,"S","died",41
"3","male",7.2292,"C","survived",20
"1","female",120,"S","survived",36
"3","male",7.775,"S","died",16
"1","female",77.9583,"S","survived",51
"1","male",39.6,"C","died",58
"3","female",7.75,"Q","died",30.5
"3","male",24.15,"Q","died",32
"3","male",8.3625,"S","died",32
"3","male",9.5,"S","died",24
"3","male",7.8542,"S","died",48
"2","female",10.5,"S","died",57
"3","male",7.225,"C","died",23.5
"2","female",23,"S","survived",54
"3","male",7.75,"S","died",18
"3","male",7.75,"Q","died",40.5
"3","female",12.475,"S","survived",5
"3","male",7.7375,"Q","died",32
"1","female",211.3375,"S","survived",43
"3","female",7.2292,"C","survived",13
"1","female",57,"S","survived",17
"1","male",30,"S","died",29
"3","male",23.45,"S","died",40.5
"3","male",7.05,"S","died",25
"3","male",7.25,"S","died",25
"3","female",7.4958,"S","survived",18
"3","male",29.125,"Q","died",8
"3","male",20.575,"S","survived",1
"1","male",79.2,"C","died",46
"3","male",7.75,"Q","died",19
"2","male",26,"S","died",16
"3","female",69.55,"S","died",2
"1","male",30.6958,"C","died",56
"3","male",7.8958,"S","died",25
"2","male",13,"S","died",39
"1","female",25.9292,"S","survived",49
"3","female",8.6833,"S","survived",31
"3","male",7.2292,"C","died",30
"3","female",24.15,"S","died",30
"2","male",13,"S","died",34
"2","female",26.25,"S","survived",31
"1","male",120,"S","survived",11
"3","male",8.5167,"C","survived",0.42
"3","male",6.975,"S","survived",27
"3","male",7.775,"S","died",31
"1","male",84.1546875,"S","died",39
"3","female",7.775,"S","died",18
"2","male",13,"S","died",39
"1","female",53.1,"S","survived",33
"3","male",7.8875,"S","died",26
"3","male",24.15,"S","died",39
"2","male",10.5,"S","died",35
"3","female",31.275,"S","died",6
"3","male",8.05,"S","died",30.5
"1","male",84.1546875,"S","died",45
"3","female",7.925,"S","died",23
"2","male",37.0042,"C","died",31
"3","male",6.45,"S","died",43
"3","male",27.9,"S","died",10
"1","female",93.5,"S","survived",52
"3","male",8.6625,"S","survived",27
"1","male",84.1546875,"S","died",38
"3","female",12.475,"S","survived",27
"3","male",39.6875,"S","died",2
"3","male",6.95,"Q","died",19
"3","male",56.4958,"S","died",25
"2","male",37.0042,"C","survived",1
"3","male",7.75,"Q","survived",27
"1","female",80,"C","survived",62
"3","female",14.4542,"C","survived",15
"2","male",18.75,"S","survived",0.83
"3","male",7.2292,"C","died",35
"3","male",7.8542,"S","died",23
"3","male",8.3,"S","died",18
"1","female",83.1583,"C","survived",39
"3","male",8.6625,"S","died",21
"3","male",8.05,"S","died",21
"3","male",56.4958,"S","survived",32
